algorithm,constructionTime,searchTime,recall,avgDistance,numTreesParam,searchKparam,constructionClocks,searchClocks
Annoy-trees-10,54.10260498299999,18.602307376,0.837705,237.19924175467682,10,9000,54.10266300000001,18.602334999999982
Annoy-trees-10,54.10260498299999,19.115024593999976,0.852343,237.02113102169037,10,10000,54.10266300000001,19.115054000000043
Annoy-trees-10,54.10260498299999,20.34660119,0.864517,236.87871230402374,10,11000,54.10266300000001,20.34662800000001
Annoy-trees-20,79.848445061,1.0544451849999632,0.144866,277.7244814371367,20,100,79.84849499999996,1.054467999999929
Annoy-trees-20,79.848445061,2.1395346660000314,0.332039,251.66925859724046,20,500,79.84849499999996,2.1395619999999553
Annoy-trees-20,79.848445061,3.211113366999939,0.454481,245.61166368639374,20,1000,79.84849499999996,3.2111400000000003
Annoy-trees-20,79.848445061,4.21231374499996,0.533734,242.98170369460297,20,1500,79.84849499999996,4.212349000000017
Annoy-trees-20,79.848445061,5.382153625000001,0.591103,241.46072429832077,20,2000,79.84849499999996,5.38218100000006
Annoy-trees-20,79.848445061,7.113805749999983,0.673132,239.7078312013626,20,3000,79.84849499999996,7.113833999999997
Annoy-trees-20,79.848445061,8.984172750000084,0.727543,238.74614643643187,20,4000,79.84849499999996,8.984201999999982
Annoy-trees-20,79.848445061,10.183464257999958,0.766731,238.13085915175628,20,5000,79.84849499999996,10.183493999999996
Annoy-trees-20,79.848445061,11.816576054999928,0.796833,237.70021600855256,20,6000,79.84849499999996,11.816602999999986
Annoy-trees-20,79.848445061,13.674013394999974,0.820115,237.3887213864441,20,7000,79.84849499999996,13.674041999999986
Annoy-trees-20,79.848445061,14.872374584,0.839459,237.14842172659303,20,8000,79.84849499999996,14.872402999999963
Annoy-trees-20,79.848445061,16.49449885399997,0.855124,236.96121847259522,20,9000,79.84849499999996,16.494533000000047
Annoy-trees-20,79.848445061,18.183901669999955,0.868378,236.81088313876342,20,10000,79.84849499999996,18.183940000000007
Annoy-trees-20,79.848445061,19.405355968000094,0.879779,236.68482997587586,20,11000,79.84849499999996,19.405384000000026
Annoy-trees-40,139.49518530499995,1.3704631749999407,0.155598,275.99189270483396,40,100,139.49524699999995,1.370488000000023
Annoy-trees-40,139.49518530499995,2.4353325680000353,0.352543,250.47409817549132,40,500,139.49524699999995,2.435361000000057
Annoy-trees-40,139.49518530499995,3.5273295740000776,0.478506,244.7199803032341,40,1000,139.49524699999995,3.527353000000062
Annoy-trees-40,139.49518530499995,4.447128549000013,0.558284,242.2630360788307,40,1500,139.49524699999995,4.447156999999947
Annoy-trees-40,139.49518530499995,5.366044371000044,0.614798,240.86750342454147,40,2000,139.49524699999995,5.366074000000026
Annoy-trees-40,139.49518530499995,7.0738698129999875,0.692206,239.30284912579344,40,3000,139.49524699999995,7.073898999999983
Annoy-trees-40,139.49518530499995,8.676371453999991,0.743998,238.4335085279465,40,4000,139.49524699999995,8.67639799999995
Annoy-trees-40,139.49518530499995,10.418627872000002,0.78192,237.87414529950715,40,5000,139.49524699999995,10.41866200000004
Annoy-trees-40,139.49518530499995,12.046888540000054,0.810202,237.49210931202697,40,6000,139.49524699999995,12.046915000000013
Annoy-trees-40,139.49518530499995,13.689711493000004,0.833072,237.20429839115144,40,7000,139.49524699999995,13.689745000000016
Annoy-trees-40,139.49518530499995,14.612813220999897,0.851111,236.98941403155519,40,8000,139.49524699999995,14.612848999999983
