algorithm,constructionTime,searchTime,recall,avgDistance,numTreesParam,searchKparam,constructionClocks,searchClocks
Annoy-trees-20,71.96544708900001,4.8913635989999875,0.610635,241.0063623869972,20,2200,71.965494,4.891392999999994
Annoy-trees-20,71.96544708900001,5.2294544499999915,0.628352,240.61469150413896,20,2400,71.965494,5.229475999999977
Annoy-trees-20,71.96544708900001,5.672949553000024,0.644463,240.27624771409225,20,2600,71.965494,5.672980999999993
Annoy-trees-20,71.96544708900001,5.941749582,0.659377,239.97434938303758,20,2800,71.965494,5.941788000000031
Annoy-trees-20,71.96544708900001,6.238940929999956,0.673132,239.7078312013626,20,3000,71.965494,6.238967000000002
Annoy-trees-30,97.55776477399996,4.13248461500001,0.548826,242.5436258350601,30,1500,97.55780900000002,4.1325069999999755
Annoy-trees-30,97.55776477399996,4.680445596999959,0.58508,241.58737424061965,30,1800,97.55780900000002,4.680470000000014
Annoy-trees-30,97.55776477399996,5.012802519000047,0.615198,240.87494081410216,30,2100,97.55780900000002,5.012826000000018
Annoy-trees-30,97.55776477399996,5.387152610999976,0.641231,240.31293980721284,30,2400,97.55780900000002,5.387184999999988
Annoy-trees-30,97.55776477399996,5.836608661000014,0.663737,239.85482707611084,30,2700,97.55780900000002,5.836633999999947
Annoy-trees-30,97.55776477399996,6.375237653999989,0.684114,239.46780847164536,30,3000,97.55780900000002,6.375261000000023
Annoy-trees-30,97.55776477399996,6.751237990999982,0.70259,239.13860701460646,30,3300,97.55780900000002,6.7512609999999995
Annoy-trees-30,97.55776477399996,7.413896432000001,0.718849,238.86141352045823,30,3600,97.55780900000002,7.413920000000019
Annoy-trees-30,97.55776477399996,7.684964318000027,0.73333,238.62344786218642,30,3900,97.55780900000002,7.684986999999978
Annoy-trees-30,97.55776477399996,8.37388078600003,0.746489,238.41501873117446,30,4200,97.55780900000002,8.37390499999998
Annoy-trees-30,97.55776477399996,8.689577406000012,0.75847,238.23248234167863,30,4500,97.55780900000002,8.689602000000036
Annoy-trees-40,125.24681809599997,4.9261505680000255,0.614798,240.86750342454147,40,2000,125.24686400000007,4.9261730000000625
Annoy-trees-40,125.24681809599997,5.6080435339999894,0.650638,240.09786307909394,40,2400,125.24686400000007,5.608068000000003
Annoy-trees-40,125.24681809599997,6.164451477000057,0.679457,239.5350988202057,40,2800,125.24686400000007,6.164483000000018
Annoy-trees-40,125.24681809599997,6.751338826000051,0.703855,239.0981825443573,40,3200,125.24686400000007,6.751365000000078
Annoy-trees-40,125.24681809599997,7.3458471890000965,0.725324,238.7328056605377,40,3600,125.24686400000007,7.345867999999996
Annoy-trees-40,125.24681809599997,7.973416410000027,0.743998,238.4335085279465,40,4000,125.24686400000007,7.973443000000088
Annoy-trees-40,125.24681809599997,8.639050026000064,0.760723,238.18049088745119,40,4400,125.24686400000007,8.63907800000004
Annoy-trees-40,125.24681809599997,9.106511707999971,0.77526,237.9687603974533,40,4800,125.24686400000007,9.106535000000008
Annoy-trees-40,125.24681809599997,9.757178660000022,0.788154,237.78786753194427,40,5200,125.24686400000007,9.757202000000007
Annoy-trees-40,125.24681809599997,10.285686489,0.799836,237.62791091152192,40,5600,125.24686400000007,10.28571199999999
Annoy-trees-40,125.24681809599997,10.859312583000019,0.810202,237.49210931202697,40,6000,125.24686400000007,10.859335999999985
Annoy-trees-50,151.50792312599992,5.9521600670000225,0.664748,239.8020991887207,50,2500,151.507971,5.952182999999991
Annoy-trees-50,151.50792312599992,6.744510152999965,0.698311,239.1762748364868,50,3000,151.507971,6.744535000000042
Annoy-trees-50,151.50792312599992,7.391709659000071,0.725755,238.7084110437317,50,3500,151.507971,7.391732000000047
Annoy-trees-50,151.50792312599992,8.201701845000002,0.748836,238.34441927469635,50,4000,151.507971,8.201726000000008
Annoy-trees-50,151.50792312599992,9.199000092999995,0.768642,238.04842487548066,50,4500,151.507971,9.199025000000006
Annoy-trees-50,151.50792312599992,9.704771583000024,0.785774,237.8076612575531,50,5000,151.507971,9.704793999999993
Annoy-trees-50,151.50792312599992,10.290841483000008,0.800801,237.60337818012238,50,5500,151.507971,10.290866000000051
Annoy-trees-50,151.50792312599992,11.22705652000002,0.813891,237.43343597843932,50,6000,151.507971,11.227080999999998
Annoy-trees-50,151.50792312599992,11.64411269499999,0.825455,237.28732518350984,50,6500,151.507971,11.644143999999983
Annoy-trees-50,151.50792312599992,12.491041727999914,0.835793,237.16034910305785,50,7000,151.507971,12.491085999999996
Annoy-trees-50,151.50792312599992,13.288937841999996,0.845035,237.04985092752838,50,7500,151.507971,13.288962000000083
Annoy-trees-60,178.23682249499996,6.866433656999789,0.702408,239.09816980073546,60,3000,178.23686499999997,6.866463000000067
Annoy-trees-60,178.23682249499996,7.731435629000089,0.734755,238.55720675024415,60,3600,178.23686499999997,7.73145999999997
Annoy-trees-60,178.23682249499996,8.586073080000006,0.760275,238.1639710802231,60,4200,178.23686499999997,8.586096999999882
Annoy-trees-60,178.23682249499996,9.438175679999858,0.781737,237.8543591179352,60,4800,178.23686499999997,9.438202000000047
Annoy-trees-60,178.23682249499996,10.451299855000116,0.800144,237.60387580846404,60,5400,178.23686499999997,10.45132999999987
Annoy-trees-60,178.23682249499996,11.329220260999818,0.81582,237.40215683092498,60,6000,178.23686499999997,11.329244000000017
Annoy-trees-60,178.23682249499996,12.17406495199998,0.829498,237.22992234555818,60,6600,178.23686499999997,12.174088999999867
Annoy-trees-60,178.23682249499996,12.872188729999834,0.841459,237.0874870674591,60,7200,178.23686499999997,12.872213999999985
Annoy-trees-60,178.23682249499996,13.809891053000001,0.851828,236.9668501707382,60,7800,178.23686499999997,13.809916000000158
Annoy-trees-60,178.23682249499996,14.556290176999937,0.860943,236.863033382843,60,8400,178.23686499999997,14.556311999999934
Annoy-trees-60,178.23682249499996,15.23305471399999,0.869313,236.7707377309494,60,9000,178.23686499999997,15.233078999999861
Annoy-trees-70,202.7663513560001,7.715066073999878,0.732641,238.5850106307678,70,3500,202.76639499999987,7.715087999999923
Annoy-trees-70,202.7663513560001,9.110685762000003,0.763355,238.11229019051362,70,4200,202.76639499999987,9.110716000000139
Annoy-trees-70,202.7663513560001,9.750821597999902,0.787539,237.76536926906584,70,4900,202.76639499999987,9.750847999999905
Annoy-trees-70,202.7663513560001,10.863810883000042,0.807476,237.49978741752625,70,5600,202.76639499999987,10.863841999999977
Annoy-trees-70,202.7663513560001,11.813660116000165,0.824655,237.28355266705321,70,6300,202.76639499999987,11.813683999999967
Annoy-trees-70,202.7663513560001,12.647539886999994,0.839005,237.1105307064514,70,7000,202.76639499999987,12.647564999999986
Annoy-trees-70,202.7663513560001,13.758261229000027,0.851552,236.96302486370848,70,7700,202.76639499999987,13.758284000000003
Annoy-trees-70,202.7663513560001,14.640043515000116,0.86234,236.84332110572814,70,8400,202.76639499999987,14.640075000000024
Annoy-trees-70,202.7663513560001,15.628550553999958,0.871839,236.73995275808716,70,9100,202.76639499999987,15.628575999999839
Annoy-trees-70,202.7663513560001,16.401760447000015,0.880056,236.6514717428665,70,9800,202.76639499999987,16.401789000000008
Annoy-trees-70,202.7663513560001,17.87887593399978,0.887598,236.57270816331481,70,10500,202.76639499999987,17.87890100000004
